Attribute 2;Attribute 3;Attribute 4;Attribute 5;Attribute 6;Attribute 7;Attribute 8;Attribute 9;Decision
improper;;;;;;;very_recom;usual
improper;;3;;inconv;;priority;priority;usual
improper;;more;;inconv;;priority;priority;usual
improper;foster;;;inconv;;priority;priority;usual
improper;;3;less_conv;;;priority;priority;usual
improper;;more;less_conv;;;priority;priority;usual
improper;foster;;less_conv;;;priority;priority;usual
improper;;2;critical;;;priority;priority;usual
improper;;3;critical;;;priority;priority;usual
improper;;more;critical;;;priority;priority;usual
improper;completed;;critical;;;priority;priority;usual
improper;incomplete;;critical;;;priority;priority;usual
improper;foster;;critical;;;priority;priority;usual
improper;;3;;inconv;problematic;;priority;usual
improper;;more;;inconv;problematic;;priority;usual
improper;foster;;;inconv;problematic;;priority;usual
critical;;;;inconv;;priority;priority;usual
critical;;;less_conv;;;priority;priority;usual
critical;;2;;;;priority;priority;usual
critical;completed;;;;;priority;priority;usual
critical;incomplete;;;;;priority;priority;usual
critical;;;;inconv;problematic;;priority;usual
critical;;;less_conv;;problematic;;priority;usual
critical;;2;;;problematic;;priority;usual
critical;completed;;;;problematic;;priority;usual
critical;;3;;inconv;;;priority;usual
critical;;more;;inconv;;;priority;usual
critical;foster;;;inconv;;;priority;usual
proper;;;;;;;spec_prior;great_pret
less_proper;;;;;;;spec_prior;great_pret
improper;complete;1;;;;;spec_prior;great_pret
improper;;;convenient;convenient;;;spec_prior;great_pret
improper;;;;;nonprob;recommended;spec_prior;great_pret
improper;;;;;slightly_prob;recommended;spec_prior;great_pret
