cap-shape;cap-surface;cap-color;bruises ;odor;gill-attachment;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-type;veil-color;ring-number;ring-type;spore-print-color;population;habitat;edible
;;;;;;;;;;;;;g;;;;;;;;;e
;;;;;;;;;;;;;;g;;;;;;;;e
;;n;;;;;;;;b;;;;;;;;;;;;e
;;;t;;;;;;;c;;;;;;;;;;;;e
;f;;t;;;;;;;;;;;;;;;;;;;e
;;;t;;;;;;;;;;;;;;;;;y;;e
;;;t;;;;;;;;;;;;;;;;;;d;e
;;;t;;;;;;;;;;;p;;;;;;;;e
;;;t;;;;;;;;;;p;;;;;;;;;e
;;e;t;;;;;;;;;;;;;;;;;;;e
;;;;;;;b;;;e;;;;;;;;;;;;e
;;;f;;;;;;;e;;;;;;;;;;;;e
;;;;n;;;;;;e;;;;;;;;;;;;e
;;;;;;w;;;;e;;;;;;;;;;;;e
;;;;;;;;;t;e;;;;;;;;;;;;e
;;;;;;;;;;e;;;;;;;;e;;;;e
;;;;;;;;;;c;s;;;;;;;;;;;e
;;;;;;;;;;;s;;;;;;;;;y;;e
;;;;;;;;;;c;;s;;;;;;;;;;e
;;;;;;;;;;;;s;;;;;;;;y;;e
;;;;;;;;;;c;;;w;;;;;;;;;e
;;;;;;;;;;c;;;;w;;;;;;;;e
;;;;;;;;;;c;;;;;;;;p;;;;e
;;;;;;;;;;;;;;;;;;p;;y;;e
;;;;;;;;;;;;;;p;;;;p;;;;e
;;;;;;;;;;;;;p;;;;;p;;;;e
;;e;;;;;;;;;;;;;;;;p;;;;e
;;;;;;;b;;;;;;;;;;;;k;;;e
;;;;n;;;;;;;;;;;;;;;k;;;e
;;;;;;;;;t;;;;;;;;;;k;;;e
;;;;;;;;;;;;;;;;;;;k;y;;e
;;;;n;;;;;;;;;;;;;;;;s;;e
;;;;;;;b;;;;;;;;;;;;n;;;e
;;;;;;;b;n;;;;;;;;;;;;;;e
;;;;;;w;b;;;;;;;;;;;;;;;e
;;;;;;;b;;;;;;;;;;;e;;;;e
;;;;n;;;;;;;;;;;;;;;n;;;e
;;;;;;;;;t;;;;;;;;;;n;;;e
;;;;;;;;;;;;;;;;;;;n;y;;e
;;;;;;w;;;;;;;;;;;;;;;g;e
;;;;;;;;;;;;;;;;;;e;;;g;e
;;;;n;;;;n;;;;;;;;;;;;;;e
;;;;;;;;n;t;;;;;;;;;;;;;e
;;g;;n;;;;;;;;;;;;;;;;;;e
;;;;n;;;;;t;;;;;;;;;;;;;e
;;;;n;;;;p;;;;;;;;;;;;;;e
;;;;n;;;;;;;;;;;;;;;;y;;e
;;;;n;;;;;;;;;;p;;;;;;;;e
;;;;n;;;;;;;;;p;;;;;;;;;e
;;e;;n;;;;;;;;;;;;;;;;;;e
;;;;;;w;;;t;;;;;;;;;;;;;e
;f;;;;;;;;t;;;;;;;;;;;;;e
;;;;;;;;;t;;;;;;;;;;;y;;e
;;e;;;;;;;;b;;;;;;;;;;;;e
;;;;;;;;;;;;;;;;;t;;w;;;e
x;;;t;n;;;;;;;;;;;;;;;;;;e
x;;;;n;;;;;;;s;;;;;;;;;;;e
x;;;;n;;;;;;;;s;;;;;;;;;;e
x;;;;n;;;;;;;;;;w;;;;;;;;e
x;;;;n;;;;;;;;;;;;;;p;;;;e
x;;;;n;;;b;;;;;;;;;;;;;;;e
x;;;;n;;;;;;b;;;;;;;;;;;;e
;s;;;n;;;;;;;;;;;;;o;;;;;e
;s;;f;;;;b;;;;;;;;;;;;;;;e
;s;;f;;;;;;;;;;;;;;;;;;g;e
;s;;f;n;;;;;;;;;;;;;;;;;;e
;s;;;n;;w;;;;;;;;;;;;;;;;e
;;n;t;;;;b;;;;;;;;;;;;;;;e
;;n;t;n;;;;;;;;;;;;;;;;;;e
;;n;t;;;;;;t;;;;;;;;;;;;;e
;;n;;;;;b;;;;s;;;;;;;;;;;e
;;n;;n;;;;;;;s;;;;;;;;;;;e
;;n;;;;;b;;;;;s;;;;;;;;;;e
;;n;;n;;;;;;;;s;;;;;;;;;;e
;;n;;;;;b;;;;;;w;;;;;;;;;e
;;n;;;;;b;;;;;;;w;;;;;;;;e
;;n;;n;;;;;;;;;;w;;;;;;;;e
;;n;;;;;b;;;;;;;;;;o;;;;;e
;;n;;;;;b;;;;;;;;;;;p;;;;e
;;n;;n;;;;;;;;;;;;;;p;;;;e
;;n;;;;;;;t;;;;;;;;;p;;;;e
;;n;;;;;;;;;;;;;;;;p;;;d;e
;;n;;n;;;b;;;;;;;;;;;;;;;e
;;n;;;;;b;;t;;;;;;;;;;;;;e
;;;t;;;;;;;b;;;;;;;;;k;;;e
;;;t;;;;;;;b;;;;;;;;;n;;;e
;y;;t;;;;;;t;;;;;;;;;;;;;e
;;;f;;;;b;;;;s;;;;;;;;;;;e
;f;;;;;;b;;;;s;;;;;;;;;;;e
;;;;;;;b;;;;s;;;;;;;;;;d;e
;;;;;;;b;;;;s;;;p;;;;;;;;e
;;;;;;;b;;;;s;;p;;;;;;;;;e
;;e;;;;;b;;;;s;;;;;;;;;;;e
;;;f;;;;;;;;s;;;;;;;;;;g;e
;;;f;n;;;;;;;s;;;;;;;;;;;e
;;;;n;;;;;;;s;;;;;;;e;;;;e
;f;;;n;;;;;;;s;;;;;;;;;;;e
;;;;n;;;;;;;s;;;;;;;;;;d;e
f;f;;;;;;;;;;s;;;;;;;;;;;e
;;;;;;;;;;b;s;;;p;;;;;;;;e
;;;;;;;;;;b;s;;p;;;;;;;;;e
;;;f;;;;b;;;;;s;;;;;;;;;;e
;f;;;;;;b;;;;;s;;;;;;;;;;e
;;;;;;;b;;;;;s;;;;;;;;;d;e
;;;;;;;b;;;;;s;;p;;;;;;;;e
;;;;;;;b;;;;;s;p;;;;;;;;;e
;;e;;;;;b;;;;;s;;;;;;;;;;e
;;;f;;;;;;;;;s;;;;;;;;;g;e
;;;f;n;;;;;;;;s;;;;;;;;;;e
;;;;n;;;;;;;;s;;;;;;e;;;;e
;f;;;n;;;;;;;;s;;;;;;;;;;e
;;;;n;;;;;;;;s;;;;;;;;;d;e
f;f;;;;;;;;;;;s;;;;;;;;;;e
;;;;;;;;;;b;;s;;p;;;;;;;;e
;;;;;;;;;;b;;s;p;;;;;;;;;e
;;;f;;;;b;;;;;;w;;;;;;;;;e
;f;;;;;;b;;;;;;w;;;;;;;;;e
;;;;;;;b;;;;;;w;;;;;;;;d;e
;;;f;;;;;;;;;;w;;;;;;;;g;e
;f;;;;;;;;;;;;w;;;;;;;;g;e
;;;;;;w;;;;;;;w;;;;;e;;;;e
;;;f;;;;b;;;;;;;w;;;;;;;;e
;f;;;;;;b;;;;;;;w;;;;;;;;e
;;;;;;;b;;;;;;;w;;;;;;;d;e
;;;f;;;;;;;;;;;w;;;;;;;g;e
;f;;;;;;;;;;;;;w;;;;;;;g;e
;;;f;n;;;;;;;;;;w;;;;;;;;e
;;;;n;;;;;;;;;;w;;;;e;;;;e
;f;;;n;;;;;;;;;;w;;;;;;;;e
;;;;n;;;;;;;;;;w;;;;;;;d;e
;;;;;;w;;;;;;;;w;;;;e;;;;e
;;;;;;w;;;;;;;;;;w;;e;;;;e
;;;;n;;;b;;;;;;;;;;o;;;;;e
;;e;;;;;b;;;;;;;;;;o;;;;;e
;;;;n;;;;;;;;;;;;;o;;;;g;e
;f;;;;;;b;;;;;;;;;;;p;;;;e
;;;;;;;b;;;;;;;;;;;p;;;d;e
;y;;;;;;;;t;;;;;;;;;p;;;;e
;y;;;;;;;;;;;;;;;;;p;;;d;e
;;;f;n;;;;;;;;;;;;;;p;;;;e
;f;;;n;;;;;;;;;;;;;;p;;;;e
;;;;n;;;;;;;;;;;;;;p;;;d;e
;;;;;;;;;t;;;;;;;;;p;;;d;e
f;;;;;;;;;;;;;;;;;;p;;;d;e
;;;f;;;;b;;;;;;;;;;;;;s;;e
;;;f;;;;;;;;;;;;;;;;;s;g;e
;y;;;;;;b;;t;;;;;;;;;;;;;e
;;;f;n;;;b;;;;;;;;;;;;;;;e
;;;f;;;;b;;t;;;;;;;;;;;;;e
;f;;;n;;;b;;;;;;;;;;;;;;;e
;;;;n;;;b;;;;;;;;;;;;;;d;e
;;;;n;;;b;;;;;;;;;;;;w;;;e
;;;;;;;b;;t;;;;;;;;;;;;d;e
