cap-shape;cap-surface;cap-color;bruises ;odor;gill-attachment;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-type;veil-color;ring-number;ring-type;spore-print-color;population;habitat;edible
f;s;;;;;;b;;;;;;w;;;;o;p;;;;p
f;s;;;;;;b;;;;;;;w;;;o;p;;;;p
;s;n;;;f;c;;;;;;;;;;;o;;;;;p
;s;n;;;f;;;;;;;;;;;;o;;;v;;p
;s;n;;;;c;;;;;;;w;;;;o;;;;;p
;s;n;;;;c;;;;;;;;w;;;o;;;;;p
;s;n;;;;c;;;;;;;;;;w;o;;;;;p
;s;n;f;;;;;;;;s;;;;;;;;w;;;p
;s;n;f;;;;;;;;;s;;;;;;;w;;;p
;s;n;;;;;;;;;;;w;;;;o;;;v;;p
;s;n;f;;;;;;;;;;w;;;;;;w;;;p
;s;n;;;;;;;;;;;;w;;;o;;;v;;p
;s;n;;;;;;;;;;;;;;w;o;;;v;;p
;s;;t;;;c;;;;;;;;;;;o;;;v;;p
f;s;;t;;;c;;;;;;;;;;;o;;;;;p
;s;;t;;;;b;;;;;;;;;;o;;;v;;p
f;s;;t;;;;b;;;;;;;;;;o;;;;;p
;s;;f;;f;c;;;;;s;;;;;;;;;;;p
;s;;f;;f;c;;;;;;s;;;;;;;;;;p
;s;;f;;f;c;;;;;;;;;;;o;;;;;p
;s;;;;f;c;;;;;;;;;;;o;;;v;;p
f;s;;;;f;c;;;;;;;;;;;o;;;;;p
;s;;;;f;;;;e;;;;;;;;o;;;v;;p
;s;;;;f;;b;;;;;;;;;;o;;;v;;p
;s;;f;;;c;;;;;s;;;;;w;;;;;;p
;s;;f;;;c;;;;;;s;;;;w;;;;;;p
;s;;;;;c;;;;;;;w;;;;o;;;v;;p
f;s;;;;;c;;;;;;;w;;;;o;;;;;p
;s;;;;;c;;;;;;;;w;;;o;;;v;;p
f;s;;;;;c;;;;;;;;w;;;o;;;;;p
;s;;f;;;c;;;;;;;;;;w;o;;;;;p
;s;;;;;c;;;;;;;;;;w;o;;;v;;p
f;s;;;;;c;;;;;;;;;;w;o;;;;;p
;s;;;;;;;;e;;;;w;;;;o;;;v;;p
;s;;;;;;;;e;;;;;w;;;o;;;v;;p
;s;;;;;;;;e;;;;;;;w;o;;;v;;p
f;s;;f;;;;;;;;s;;;;;;;;w;;;p
f;s;;f;;;;;;;;;s;;;;;;;w;;;p
;s;;;;;;b;;;;;;w;;;;o;;;v;;p
f;s;;f;;;;;;;;;;w;;;;;;w;;;p
;s;;;;;;b;;;;;;;w;;;o;;;v;;p
;s;;;;;;b;;;;;;;;;w;o;;;v;;p
;;n;t;;;;;;e;;;s;;;;;o;;;;;p
;y;n;f;;;c;;;;;s;;;;;;;;;;;p
;y;n;f;;;c;;;;;;;w;;;;;;;;;p
;y;n;f;;;c;;;;;;;;;;;o;;;;;p
;y;n;f;;;c;;;;;;;;;;;;;;v;;p
f;s;;;;;;b;;;;;;;;;w;o;p;;;;p
f;;;t;;;;;;e;;;s;;;;;o;;;;;p
k;;;f;;f;c;;;;;s;;;;;;;;;;;p
k;;;f;;f;c;;;;;;s;;;;;;;;;;p
;;;f;;f;c;b;;;;;;;;;;o;;;;;p
;;;f;;f;;b;;e;;;;;;;;o;;;;;p
;;;;;f;;b;;e;;;;;;;;o;;;v;;p
;;g;;;;c;b;p;e;;;;;;;;;;;;;p
k;;;f;;;c;;;;;s;;;;;w;;;;;;p
k;y;;f;;;c;;;;;s;;;;;;;;;;;p
k;;;f;;;c;;;;;;s;;;;w;;;;;;p
;;;f;;;c;b;;;;;;;;;w;o;;;;;p
;;;;p;;;;;;;;;;;;;;;;;;p
;;;;f;;;;;;;;;;;;;;;;;;p
;;;;;;;;;;;;;;b;;;;;;;;p
;;;;;;;;;;;;;;;;;;l;;;;p
;;;;;;;;;;;;;b;;;;;;;;;p
;;;;c;;;;;;;;;;;;;;;;;;p
;;;;y;;;;;;;;;;;;;;;;;;p
;;;;;;;;b;;;;;;;;;;;;;;p
;;;;s;;;;;;;;;;;;;;;;;;p
;s;;;;;;;;;;;;;;;;;;;;u;p
;s;;;;;;;;;;;;;p;;;;;;;;p
;s;;;;;;;;;;;;p;;;;;;;;;p
;s;;;;;;;;;;;;;;;;;;h;;;p
;;n;;;;;;;;;k;;;;;;;;;;;p
;;n;;;;;;;;;;k;;;;;;;;;;p
;;;t;;;;;;;e;;;;;;;;;;;;p
;;;t;;;;;;;;;;;;;;;;;;u;p
;;;t;;;;;;;;;f;;;;;;;;;;p
;;;t;;;;;;;;f;;;;;;;;;;;p
;;;t;;;;;;;;;;;;;;;;h;;;p
;;;;;;c;;;;;f;;;;;;;;;;;p
;;;;;;c;;;;;k;;;;;;;;;;;p
;;;;;;c;;;;;;k;;;;;;;;;;p
;;;;;;;n;;;;;;;;;;;;;s;;p
;;;;;;;n;;;;;;;;;;;;;;g;p
