cap-shape;cap-surface;cap-color;bruises ;odor;gill-attachment;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-type;veil-color;ring-number;ring-type;spore-print-color;population;habitat;edible
;;w;;;;;;p;;;;;;;;;o;p;;s;;p
;;w;;;;;b;p;;;;;;;;;o;p;;;;p
;;w;;;;;;p;;;;;;;;;o;p;;;g;p
f;s;;;;;;b;;;;;;w;;;;o;p;;;;p
f;s;;;;;;b;;;;;;;w;;;o;p;;;;p
;s;n;;;f;c;;;;;;;;;;;o;;;;;p
;s;n;;;f;;;;e;;;;;;;;o;;;;;p
;s;n;;;f;;;;;;;;;;;;o;p;;;;p
;s;n;;;f;;;;;;;;;;;;o;;;v;;p
;s;n;;;;c;;;;;;;w;;;;o;;;;;p
;s;n;;;;c;;;;;;;w;;;;;;n;;;p
;s;n;;;;c;;;;;;;;w;;;o;;;;;p
;s;n;;;;c;;;;;;;;w;;;;;n;;;p
;s;n;;;;c;;;;;;;;;;w;o;;;;;p
;s;n;;;;c;;;;;;;;;;w;;;n;;;p
;s;n;;;;;;;e;;;;w;;;;o;;;;;p
;s;n;;;;;;;e;;;;w;;;;;;n;;;p
;s;n;;;;;;;e;;;;;w;;;o;;;;;p
;s;n;;;;;;;e;;;;;w;;;;;n;;;p
;s;n;;;;;;;e;;;;;;;w;o;;;;;p
;s;n;;;;;;;e;;;;;;;w;;;n;;;p
;s;n;f;;;;;;;;s;;;;;;;;w;;;p
;s;n;f;;;;;;;;;s;;;;;;;w;;;p
;s;n;;;;;;;;;;;w;;;;o;p;;;;p
;s;n;;;;;;;;;;;w;;;;o;;;v;;p
;s;n;;;;;;;;;;;w;;;;;p;n;;;p
;s;n;f;;;;;;;;;;w;;;;;;w;;;p
k;s;n;f;;;;;;;;;;w;;;;;;;;;p
;s;n;;;;;;;;;;;;w;;;o;p;;;;p
;s;n;;;;;;;;;;;;w;;;o;;;v;;p
;s;n;;;;;;;;;;;;w;;;;p;n;;;p
;s;n;;;;;;;;;;;;;;w;o;p;;;;p
;s;n;;;;;;;;;;;;;;w;o;;;v;;p
;s;n;;;;;;;;;;;;;;w;;p;n;;;p
;s;;t;;;c;;;;;;;;;;;o;;;v;;p
f;s;;t;;;c;;;;;;;;;;;o;;;;;p
;s;;t;;;c;;;;;;;;;;;;;n;v;;p
f;s;;t;;;c;;;;;;;;;;;;;n;;;p
f;s;;t;;;;;;e;;;;;;;;o;;;;;p
f;s;;t;;;;;;e;;;;;;;;;;n;;;p
;s;;t;;;;b;;;;;;;;;;o;;;v;;p
f;s;;t;;;;b;;;;;;;;;;o;;;;;p
;s;;f;;f;c;;;;;s;;;;;;;;;;;p
;s;;f;;f;c;;;;;;s;;;;;;;;;;p
;s;;f;;f;c;;;;;;;;;;;o;;;;;p
;s;;;;f;c;;;;;;;;;;;o;;;v;;p
f;s;;;;f;c;;;;;;;;;;;o;;;;;p
;s;;f;;f;c;;;;;;;;;;;;;n;;;p
;s;;;;f;c;;;;;;;;;;;;;n;v;;p
;s;;;;f;c;;n;;;;;;;;;;;;v;;p
;s;;f;;f;;;;e;;;;;;;;o;;;;;p
;s;;;;f;;;;e;;;;;;;;o;;;v;;p
f;s;;;;f;;;;e;;;;;;;;o;;;;;p
;s;;;;f;;;;e;;;;;;;;;;n;v;;p
;s;;;;f;;;n;e;;;;;;;;;;;v;;p
;s;;f;;f;;;;;;;;;;;;o;p;;;;p
;s;;;;f;;b;;;;;;;;;;o;;;v;;p
;s;;f;;f;;;;;;;;;;;;;p;n;;;p
;s;;f;;;c;;;;;s;;;;;w;;;;;;p
;s;;f;;;c;;;;;;s;;;;w;;;;;;p
;s;;;;;c;;;;;;;w;;;;o;;;v;;p
f;s;;;;;c;;;;;;;w;;;;o;;;;;p
;s;;;;;c;;;;;;;w;;;;;;n;v;;p
f;s;;;;;c;;;;;;;w;;;;;;n;;;p
;s;;;;;c;;n;;;;;w;;;;;;;v;;p
;s;;;;;c;;;;;;;;w;;;o;;;v;;p
f;s;;;;;c;;;;;;;;w;;;o;;;;;p
;s;;;;;c;;;;;;;;w;;;;;n;v;;p
f;s;;;;;c;;;;;;;;w;;;;;n;;;p
;s;;;;;c;;n;;;;;;w;;;;;;v;;p
