cap-shape;cap-surface;cap-color;bruises ;odor;gill-attachment;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-type;veil-color;ring-number;ring-type;spore-print-color;population;habitat;edible
;;;;f;;;;;;;;;;;;;;;;;;p
;;;;;;;;b;;;;;;;;;;;;;;p
;;;;;;c;;;;;k;;;;;;;;;;;p
;;;;;;c;;;;;;k;;;;;;;;;;p
;;;;;;;;;;;k;;;;;;o;;;;;p
;;;;;;;;;;;;k;;;;;o;;;;;p
;;;;;;;b;;;;;;;;;;;;h;;;p
;;;;;;;;;t;;;;;;;;;;w;;;p
;;;;;;;;;;;k;;;;;;;;;v;;p
;;;;;;;;;;;;k;;;;;;;;v;;p
;;;;;;;;;;b;;;;;;;;;h;;;p
;;;;;;c;n;;t;;;;;;;;;;;;;p
;;;;;;c;n;;;;;;;;;;;e;;;;p
;;;;;;c;n;;;;;;;;;;;;w;;;p
;;;;;;c;;;;;;;;;;;o;e;;;;p
;;;;;;c;;;;;;;;;;;o;;w;;;p
;;;f;;;c;;;t;;;;;;;;;;;;;p
;;;f;;;c;;;;;;;;;;;;e;;;;p
;;;;;;c;;;t;;;;;;;;;e;;;;p
;;;;;;c;;;;;;;;;;;;e;;v;;p
;;;f;;;;n;;t;;;;;;;;;;;;;p
;;;;;;;n;;t;;;;;;;;;e;;;;p
;;;f;;;;;;t;;;;;;;;;;;v;;p
;;;;;;;;;t;;;;;;;;;e;;v;;p
;;;f;;;c;;;;;;;;;;;;;w;v;;p
;;;t;;;;;;;;;;;;;;;;;;d;e
;;;;;;;b;;;;;;;;;;;;k;;;e
;;;;;;;b;;;;;;;;;;;;n;;;e
;;;;n;;;;;t;;;;;;;;;;;;;e
;;;;;;;b;;;;s;;;;;;;;;;d;e
;;;;n;;;;;;;s;;;;;;;;;;d;e
;;;;;;;b;;;;;s;;;;;;;;;d;e
;;;;n;;;;;;;;s;;;;;;;;;d;e
;;;;n;;;b;;;;;;;;;;o;;;;;e
;;;;;;;b;;;;;;;;;;;p;;;d;e
;;;;n;;;;;;;;;;;;;;p;;;d;e
;;;;;;;;;t;;;;;;;;;p;;;d;e
;;;;n;;;b;;;;;;;;;;;;;;d;e
;;;;;;;b;;t;;;;;;;;;;;;d;e
;;;;n;;;;;;b;;;;;;;;;;;d;e
;;;;;;;;;t;b;;;;;;;;;;;d;e
;;;;n;;c;;;;;s;;;;;;o;;;;;e
;;;;n;;c;;;;;;s;;;;;o;;;;;e
;;;;n;;c;;;;;;;;;;;o;p;;;;e
