cap-shape;cap-surface;cap-color;bruises ;odor;gill-attachment;gill-spacing;gill-size;gill-color;stalk-shape;stalk-root;stalk-surface-above-ring;stalk-surface-below-ring;stalk-color-above-ring;stalk-color-below-ring;veil-type;veil-color;ring-number;ring-type;spore-print-color;population;habitat;edible
;f;;t;;;;;;;;;;;;;;;;;;;e
;;;t;;;;;;;;;;;;;;;;;y;;e
;;;t;;;;;;;;;;;;;;;;;;d;e
;;;;;;;b;;;e;;;;;;;;;;;;e
;;;f;;;;;;;e;;;;;;;;;;;;e
;;;;n;;;;;;e;;;;;;;;;;;;e
;;;;;;w;;;;e;;;;;;;;;;;;e
;;;;;;;;;t;e;;;;;;;;;;;;e
;;;;;;;;;;e;;;;;;;;e;;;;e
;;;;;;;;;;;s;;;;;;;;;y;;e
;;;;;;;;;;;;s;;;;;;;;y;;e
;;;;;;;;;;;;;;;;;;p;;y;;e
;;;;;;;b;;;;;;;;;;;;k;;;e
;;;;n;;;;;;;;;;;;;;;k;;;e
;;;;;;;;;t;;;;;;;;;;k;;;e
;;;;;;;b;;;;;;;;;;;;n;;;e
;;;;;;;b;n;;;;;;;;;;;;;;e
;;;;;;w;b;;;;;;;;;;;;;;;e
;;;;;;;b;;;;;;;;;;;e;;;;e
;;;;n;;;;;;;;;;;;;;;n;;;e
;;;;;;;;;t;;;;;;;;;;n;;;e
;;;;;;w;;;;;;;;;;;;;;;g;e
;;;;;;;;;;;;;;;;;;e;;;g;e
;;;;n;;;;n;;;;;;;;;;;;;;e
;;g;;n;;;;;;;;;;;;;;;;;;e
;;;;n;;;;;t;;;;;;;;;;;;;e
;;;;n;;;;p;;;;;;;;;;;;;;e
;;;;n;;;;;;;;;;;;;;;;y;;e
;;;;;;w;;;t;;;;;;;;;;;;;e
;f;;;;;;;;t;;;;;;;;;;;;;e
;;;;;;;;;t;;;;;;;;;;;y;;e
x;;;t;n;;;;;;;;;;;;;;;;;;e
x;;;;n;;;;;;;s;;;;;;;;;;;e
x;;;;n;;;;;;;;s;;;;;;;;;;e
x;;;;n;;;;;;;;;;w;;;;;;;;e
x;;;;n;;;;;;;;;;;;;;p;;;;e
x;;;;n;;;b;;;;;;;;;;;;;;;e
x;;;;n;;;;;;b;;;;;;;;;;;;e
;s;;f;;;;b;;;;;;;;;;;;;;;e
;s;;f;n;;;;;;;;;;;;;;;;;;e
;;n;t;;;;b;;;;;;;;;;;;;;;e
;;n;;;;;b;;;;s;;;;;;;;;;;e
;;n;;n;;;;;;;s;;;;;;;;;;;e
;;n;;;;;b;;;;;s;;;;;;;;;;e
;;n;;n;;;;;;;;s;;;;;;;;;;e
;;n;;;;;b;;;;;;;;;;o;;;;;e
;;n;;;;;b;;;;;;;;;;;p;;;;e
;;n;;n;;;;;;;;;;;;;;p;;;;e
;;n;;n;;;b;;;;;;;;;;;;;;;e
;;n;;;;;b;;t;;;;;;;;;;;;;e
;;;t;;;;;;;b;;;;;;;;;k;;;e
;;;t;;;;;;;b;;;;;;;;;n;;;e
;y;;t;;;;;;t;;;;;;;;;;;;;e
;;;f;;;;b;;;;s;;;;;;;;;;;e
;f;;;;;;b;;;;s;;;;;;;;;;;e
;;;;;;;b;;;;s;;;;;;;;;;d;e
;;;f;n;;;;;;;s;;;;;;;;;;;e
;f;;;n;;;;;;;s;;;;;;;;;;;e
;;;;n;;;;;;;s;;;;;;;;;;d;e
;;;f;;;;b;;;;;s;;;;;;;;;;e
;f;;;;;;b;;;;;s;;;;;;;;;;e
;;;;;;;b;;;;;s;;;;;;;;;d;e
;;;f;n;;;;;;;;s;;;;;;;;;;e
;f;;;n;;;;;;;;s;;;;;;;;;;e
;;;;n;;;;;;;;s;;;;;;;;;d;e
;;;f;;;;b;;;;;;w;;;;;;;;;e
;f;;;;;;b;;;;;;w;;;;;;;;;e
;;;f;;;;;;;;;;w;;;;;;;;g;e
;;;;;;w;;;;;;;w;;;;;e;;;;e
;;;f;;;;b;;;;;;;w;;;;;;;;e
;f;;;;;;b;;;;;;;w;;;;;;;;e
;;;f;;;;;;;;;;;w;;;;;;;g;e
;;;f;n;;;;;;;;;;w;;;;;;;;e
;;;;n;;;;;;;;;;w;;;;e;;;;e
;f;;;n;;;;;;;;;;w;;;;;;;;e
;;;;;;w;;;;;;;;w;;;;e;;;;e
;;;;;;w;;;;;;;;;;w;;e;;;;e
;;;;n;;;b;;;;;;;;;;o;;;;;e
;;;;n;;;;;;;;;;;;;o;;;;g;e
;f;;;;;;b;;;;;;;;;;;p;;;;e
;;;;;;;b;;;;;;;;;;;p;;;d;e
;y;;;;;;;;t;;;;;;;;;p;;;;e
;y;;;;;;;;;;;;;;;;;p;;;d;e
;f;;;n;;;;;;;;;;;;;;p;;;;e
;;;;n;;;;;;;;;;;;;;p;;;d;e
;;;;;;;;;t;;;;;;;;;p;;;d;e
f;;;;;;;;;;;;;;;;;;p;;;d;e
;y;;;;;;b;;t;;;;;;;;;;;;;e
;;;f;n;;;b;;;;;;;;;;;;;;;e
;;;f;;;;b;;t;;;;;;;;;;;;;e
;f;;;n;;;b;;;;;;;;;;;;;;;e
;;;;n;;;b;;;;;;;;;;;;;;d;e
;;;;;;;b;;t;;;;;;;;;;;;d;e
;;;f;n;;;;;;;;;;;;;;;;;g;e
;;;f;;;;;;t;;;;;;;;;;;;g;e
;y;;;;;;;;t;b;;;;;;;;;;;;e
;f;;;n;;;;;;b;;;;;;;;;;;;e
;;;;n;;;;;;b;;;;;;;;;;;d;e
;;;;;;;;;t;b;;;;;;;;;;;d;e
;;;t;;;;b;;e;;;;;;;;o;;;;;e
;y;;t;;;;b;;;;;;;;;;o;;;;;e
;;;t;n;;;;;;;;;;;;;o;;;v;;e
;;;;n;;c;;;;;s;;;;;;o;;;;;e
;;;;n;;c;;;;;;s;;;;;o;;;;;e
;;;;n;;c;;;;;;;;w;;;o;;;;;e
;;;;n;;c;;;;;;;;;;;o;p;;;;e
;;;;;;;b;;e;;s;;;;;;o;;;;;e
;;;;;;;b;;e;;;s;;;;;o;;;;;e
;;;;;;;b;;e;;;;w;;;;o;;;;;e
;;;;;;;b;;e;;;;;w;;;o;;;;;e
;;;;;;;b;;e;;;;;;;;o;p;;;;e
;y;;;;;;b;;;;s;;;;;;o;;;;;e
;;;;n;;;;;;;s;;;;;;o;;;v;;e
;y;;;;;;;;;b;s;;;;;;;;;;d;e
f;;;;;;;;;;b;s;;;;;;;;;;d;e
;y;;;;;;b;;;;;s;;;;;o;;;;;e
;;;;n;;;;;;;;s;;;;;o;;;v;;e
;y;;;;;;;;;b;;s;;;;;;;;;d;e
f;;;;;;;;;;b;;s;;;;;;;;;d;e
;y;;;;;;b;;;;;;w;;;;o;;;;;e
;;;f;n;;w;;;;;;;w;;;;;;;;;e
;y;;;;;;b;;;;;;;w;;;o;;;;;e
;;;f;n;;w;;;;;;;;;;w;;;;;;e
;y;;;;;;b;;;;;;;;;;o;p;;;;e
;;;;n;;;;;;;;;;;;;o;p;;v;;e
;;;;n;;;;;;b;;;;;;;o;;;v;;e
;s;;f;;f;c;;;;;;;;;;;o;;;;;p
;s;;;;f;c;;;;;;;;;;;o;;;v;;p
;s;;f;;;c;;;;;;;;;;w;o;;;;;p
;s;;;;;c;;;;;;;;;;w;o;;;v;;p
;;;f;;f;c;b;;;;;;;;;;o;;;;;p
;;;f;;f;;b;;e;;;;;;;;o;;;;;p
;;;f;;;c;b;;;;;;;;;w;o;;;;;p
;;;;f;;;;;;;;;;;;;;;;;;p
;;;;;;;;;;;;;;;;;;l;;;;p
;;;;;;;;b;;;;;;;;;;;;;;p
;;;;;;c;;;;;k;;;;;;;;;;;p
;;;;;;c;;;;;;k;;;;;;;;;;p
;;;;;;;n;;;;;;;p;;;;;;;;p
;;;;;;;n;;;;;;p;;;;;;;;;p
;;e;;;;;n;;;;;;;;;;;;;;;p
;;;;;;;n;;;;k;;;;;;;;;;;p
;;;;;;;n;;;;;k;;;;;;;;;;p
;;;;;;;;;;;k;;;;;;o;;;;;p
;;;;;;;;;;;;k;;;;;o;;;;;p
;;;;;;;b;;;;;;;;;;;;h;;;p
;y;;;;;;;;;;k;;;;;;;;;;;p
;y;;;;;;;;;;;k;;;;;;;;;;p
;;g;;;;;;;;;;;;;;;;;h;;;p
;;;f;;;;;;;;;;;p;;;;;;;;p
;;;f;;;;;;;;;;p;;;;;;;;;p
;;e;f;;;;;;;;;;;;;;;;;;;p
;;;;;;;;;t;;k;;;;;;;;;;;p
;;;;;;;;;t;;;k;;;;;;;;;;p
;;;;;;;;;t;;;;;;;;;;w;;;p
;;;;;;;;;;;;;;p;;;;e;;;;p
;;;;;;;;;;;;;p;;;;;e;;;;p
;;;;;;;;;;;k;;;;;;;e;;;;p
;;;;;;;;;;;;k;;;;;;e;;;;p
;;;;;;;;;;;k;;;;;;;;;v;;p
;;;;;;;;;;;;k;;;;;;;;v;;p
f;;;;;;;;;;;k;;;;;;;;;;;p
f;;;;;;;;;;;;k;;;;;;;;;;p
;;;;;;;;;;b;k;;;;;;;;;;;p
;;;;;;;;;;b;;k;;;;;;;;;;p
;;;;;;;;;;b;;;;;;;;;h;;;p
;;;;;;;;;;;k;;;;;;;;;;d;p
;;;;;;;;;;;;k;;;;;;;;;d;p
;;;;;;;;;;;k;;;;;;;;;;p;p
;;;;;;;;;;;;k;;;;;;;;;p;p
;;;;;;;;;;;k;;;p;;;;;;;;p
;;;;;;;;;;;;k;;p;;;;;;;;p
;;;;;;;;;;;;;;p;;;;;w;;;p
;;;;;;;;;;;k;;p;;;;;;;;;p
;;;;;;;;;;;;k;p;;;;;;;;;p
;;;;;;;;;;;;;p;;;;;;w;;;p
;;;;;;;;;;;k;;;;;;;;h;;;p
;;;;;;;;;;;;k;;;;;;;h;;;p
;s;;;;;c;n;;;;;;;;;;;;;;;p
;s;;;;;c;;;t;;;;;;;;;;;;;p
;s;;f;;;;n;;;;;;;;;;;;;;;p
;s;;;;;;n;;;;;;;;;;;e;;;;p
;s;;;;;;n;;;;;;;;;;;;w;;;p
;s;;;;;;;;;;;;;;;;o;;w;;;p
;s;;;;;;;;;;;;;;;;;e;;v;;p
;;n;;;;;n;;t;;;;;;;;;;;;;p
;;;;;;c;n;;t;;;;;;;;;;;;;p
;;;;;;c;n;;;;;;;;;;;e;;;;p
;;;;;;c;n;;;;;;;;;;;;w;;;p
;;;;;;c;;;;;;;;;;;o;e;;;;p
;;;;;;c;;;;;;;;;;;o;;w;;;p
;;;f;;;c;;;t;;;;;;;;;;;;;p
;;;f;;;c;;;;;;;;;;;;e;;;;p
;;;;;;c;;;t;;;;;;;;;e;;;;p
;;;;;;c;;;;;;;;;;;;e;;v;;p
;;;;;;;n;;;;;;;w;;;;e;;;;p
;;;;;;;n;;;;;;;w;;;;;w;;;p
;y;;;;;;n;;t;;;;;;;;;;;;;p
;;;f;;;;n;;t;;;;;;;;;;;;;p
;;;;;;;n;;t;;;;;;;;;e;;;;p
;;;;;;;;;;;;;;w;;;o;;w;;;p
;;;;;;;;;;;;;;w;;;;e;;v;;p
;;;f;;;;;;;;;;;;;;o;;;;p;p
;;e;;;;;;;;;;;;;;;o;e;;;;p
;;;;;;;;;;;;;;;;;o;;;v;p;p
;;e;;;;;;;;;;;;;;;o;;w;;;p
;y;;f;;;;;;t;;;;;;;;;;;;;p
;y;;;;;;;;t;;;;;;;;;e;;;;p
;;g;f;;;;;;;b;;;;;;;;;;;;p
;;;f;;;;;;t;;;;;;;;;;;v;;p
;;;f;;;;;;;;;;;;;;;;;v;p;p
;;;;;;;;;t;;;;;;;;;e;;v;;p
;;e;;;;;;;t;;;;;;;;;e;;;;p
;;e;;;;;;;;;;;;;;;;e;;v;;p
;;e;;;;;;;;;;;;;;;;;w;v;;p
;;;f;;;;b;;e;;;;;;;w;o;;;;;p
;s;;f;;f;;;;;;;;;;;;;;;v;;p
;s;;f;;;;;;;;;;;;;w;;;;v;;p
;s;;f;;;;;;;;;;;;;;;e;w;;;p
;s;;f;;;;;;;;;;;;;;;;w;v;;p
;;;;;;c;;;e;b;;;;;;;o;;;;;p
;;;f;;;c;;;;;s;;;;;;;;w;;;p
;;;f;;;c;;;;;;s;;;;;;;w;;;p
;;;f;;;c;;;;;;;w;;;;;;w;;;p
;;;f;;;c;;;;;;;;w;;;;;w;;;p
;;;f;;;c;;;;b;;;;;;;o;;;;;p
;;;f;;;c;;;;;;;;;;;;;w;v;;p
;;;;;;;b;;e;b;;;;;;;o;;;;;p
;;g;;;;;;;e;b;;;;;;;o;;;;;p
;;;f;;;;;;;;;;;w;;;;e;w;;;p
;;;f;;;;;;;;;;;w;;;;;w;v;;p
;;;f;;;;b;;;b;;;;;;;o;;;;;p
